Date,Region,"Total First Vaccine Doses","Total Fully Vaccinated","Total Vaccine Doses","New First Vaccine Doses","New Fully Vaccinated","New Vaccine Doses"
2020/08/22,"Central West",,,,,,
2020/08/22,"Central East",,,,,,
2020/08/22,"Central East",,,,,,
2020/08/22,"Central East",,,,,,
2020/08/22,"Central East",,,,,,
2020/08/22,"Central East",,,,,,
2020/08/22,Regina,,,,,,
2020/08/22,"South West",,,,,,
2020/08/22,"South West",,,,,,
2020/08/22,"South Central",,,,,,
2020/08/22,"South Central",,,,,,
2020/08/22,"South East",,,,,,
2020/08/22,"South East",,,,,,
2020/08/22,"South East",,,,,,
2020/08/22,"South East",,,,,,
2020/08/23,"Far North West",,,,,,
2020/08/23,"Far North West",,,,,,
2020/08/23,"Far North Central",,,,,,
2020/08/23,"Far North East",,,,,,
2020/08/23,"Far North East",,,,,,
2020/08/23,"North West",,,,,,
2020/08/23,"North West",,,,,,
2020/08/23,"North West",,,,,,
2020/08/23,"North West",,,,,,
2020/08/23,"North Central",,,,,,
2020/08/23,"North Central",,,,,,
2020/08/23,"North Central",,,,,,
2020/08/23,"North East",,,,,,
2020/08/23,"North East",,,,,,
2020/08/23,"North East",,,,,,
2020/08/23,Saskatoon,,,,,,
2020/08/23,"Central West",,,,,,
2020/08/23,"Central West",,,,,,
2020/08/23,"Central East",,,,,,
2020/08/23,"Central East",,,,,,
2020/08/23,"Central East",,,,,,
2020/08/23,"Central East",,,,,,
2020/08/23,"Central East",,,,,,
2020/08/23,Regina,,,,,,
2020/08/23,"South West",,,,,,
2020/08/23,"South West",,,,,,
2020/08/23,"South Central",,,,,,
2020/08/23,"South Central",,,,,,
2020/08/23,"South East",,,,,,
2020/08/23,"South East",,,,,,
2020/08/23,"South East",,,,,,
2020/08/23,"South East",,,,,,
2020/08/24,"Far North West",,,,,,
2020/08/24,"Far North West",,,,,,
2020/08/24,"Far North Central",,,,,,
2020/08/24,"Far North East",,,,,,
2020/08/24,"Far North East",,,,,,
2020/08/24,"North West",,,,,,
2020/08/24,"North West",,,,,,
2020/08/24,"North West",,,,,,
2020/08/24,"North West",,,,,,
2020/08/24,"North Central",,,,,,
2020/08/24,"North Central",,,,,,
2020/08/24,"North Central",,,,,,
2020/08/24,"North East",,,,,,
2020/08/24,"North East",,,,,,
2020/08/24,"North East",,,,,,
2020/08/24,Saskatoon,,,,,,
2020/08/24,"Central West",,,,,,
2020/08/24,"Central West",,,,,,
2020/08/24,"Central East",,,,,,
2020/08/24,"Central East",,,,,,
2020/08/24,"Central East",,,,,,
2020/08/24,"Central East",,,,,,
2020/08/24,"Central East",,,,,,
2020/08/24,Regina,,,,,,
2020/08/24,"South West",,,,,,
2020/08/24,"South West",,,,,,
2020/08/24,"South Central",,,,,,
2020/08/24,"South Central",,,,,,
2020/08/24,"South East",,,,,,
2020/08/24,"South East",,,,,,
2020/08/24,"South East",,,,,,
2020/08/24,"South East",,,,,,
2020/08/25,"Far North West",,,,,,
2020/08/25,"Far North West",,,,,,
2020/08/25,"Far North Central",,,,,,
2020/08/25,"Far North East",,,,,,
2020/08/25,"Far North East",,,,,,
2020/08/25,"North West",,,,,,
2020/08/25,"North West",,,,,,
2020/08/25,"North West",,,,,,
2020/08/25,"North West",,,,,,
2020/08/25,"North Central",,,,,,
2020/08/25,"North Central",,,,,,
2020/08/25,"North Central",,,,,,
2020/08/25,"North East",,,,,,
2020/08/25,"North East",,,,,,
2020/08/25,"North East",,,,,,
2020/08/25,Saskatoon,,,,,,
2020/08/25,"Central West",,,,,,
2020/08/25,"Central West",,,,,,
2020/08/25,"Central East",,,,,,
2020/08/25,"Central East",,,,,,
2020/08/25,"Central East",,,,,,
2020/08/25,"Central East",,,,,,
2020/08/25,"Central East",,,,,,
2020/08/25,Regina,,,,,,
2020/08/25,"South West",,,,,,
2020/08/25,"South West",,,,,,
2020/08/25,"South Central",,,,,,
2020/08/25,"South Central",,,,,,
2020/08/25,"South East",,,,,,
2020/08/25,"South East",,,,,,
2020/08/25,"South East",,,,,,
2020/08/25,"South East",,,,,,
2020/08/26,"Far North West",,,,,,
2020/08/26,"Far North West",,,,,,
2020/08/26,"Far North Central",,,,,,
2020/08/26,"Far North East",,,,,,
2020/08/26,"Far North East",,,,,,
2020/08/26,"North West",,,,,,
2020/08/26,"North West",,,,,,
2020/08/26,"North West",,,,,,
2020/08/26,"North West",,,,,,
2020/08/26,"North Central",,,,,,
2020/08/26,"North Central",,,,,,
2020/08/26,"North Central",,,,,,
2020/08/26,"North East",,,,,,
2020/08/26,"North East",,,,,,
2020/08/26,"North East",,,,,,
2020/08/26,Saskatoon,,,,,,
2020/08/26,"Central West",,,,,,
2020/08/26,"Central West",,,,,,
2020/08/26,"Central East",,,,,,
2020/08/26,"Central East",,,,,,
2020/08/26,"Central East",,,,,,
2020/08/26,"Central East",,,,,,
2020/08/26,"Central East",,,,,,
2020/08/26,Regina,,,,,,
2020/08/26,"South West",,,,,,
2020/08/26,"South West",,,,,,
2020/08/26,"South Central",,,,,,
2020/08/26,"South Central",,,,,,
2020/08/26,"South East",,,,,,
2020/08/26,"South East",,,,,,
2020/08/26,"South East",,,,,,
2020/08/26,"South East",,,,,,
2020/08/27,"Far North West",,,,,,
2020/08/27,"Far North West",,,,,,
2020/08/27,"Far North Central",,,,,,
2020/08/27,"Far North East",,,,,,
2020/08/27,"Far North East",,,,,,
2020/08/27,"North West",,,,,,
2020/08/27,"North West",,,,,,
2020/08/27,"North West",,,,,,
2020/08/27,"North West",,,,,,
2020/08/27,"North Central",,,,,,
2020/08/27,"North Central",,,,,,
2020/08/27,"North Central",,,,,,
2020/08/27,"North East",,,,,,
2020/08/27,"North East",,,,,,
2020/08/27,"North East",,,,,,
2020/08/27,Saskatoon,,,,,,
2020/08/27,"Central West",,,,,,
2020/08/27,"Central West",,,,,,
2020/08/27,"Central East",,,,,,
2020/08/27,"Central East",,,,,,
2020/08/27,"Central East",,,,,,
2020/08/27,"Central East",,,,,,
2020/08/27,"Central East",,,,,,
2020/08/27,Regina,,,,,,
2020/08/27,"South West",,,,,,
2020/08/27,"South West",,,,,,
2020/08/27,"South Central",,,,,,
2020/08/27,"South Central",,,,,,
2020/08/27,"South East",,,,,,
2020/08/27,"South East",,,,,,
2020/08/27,"South East",,,,,,
2020/08/27,"South East",,,,,,
2020/08/28,"Far North West",,,,,,
