Date,Region,"Total Cases","Active Cases","Inpatient Hospitalizations","ICU Hospitalizations","Recovered Cases",Deaths,"New Cases","Age 4 and Under","Age 5 to 11","Age 12 to 19","Age 20 to 39","Ages 40 to 59","Age 60 to 79","Age 80+"
2020/08/15,"North West",,1,,,,,0,,,,,,,
2020/08/15,"North West",,20,,,,,16,,,,,,,
2020/08/15,"North West",,1,,,,,1,,,,,,,
2020/08/15,"North Central",68,1,0,1,65,1,0,,,,,,,
2020/08/15,"North Central",,1,,,,,0,,,,,,,
2020/08/15,"North Central",,0,,,,,0,,,,,,,
2020/08/15,"North East",65,0,0,0,65,0,0,,,,,,,
2020/08/15,"North East",,0,,,,,0,,,,,,,
2020/08/15,"North East",,0,,,,,0,,,,,,,
2020/08/15,Saskatoon,247,27,2,3,218,2,2,,,,,,,
2020/08/15,"Central West",160,7,0,0,150,0,0,,,,,,,
2020/08/15,"Central West",,3,,,,,6,,,,,,,
2020/08/15,"Central East",30,0,0,0,26,1,0,,,,,,,
2020/08/15,"Central East",,3,,,,,0,,,,,,,
2020/08/15,"Central East",,0,,,,,0,,,,,,,
2020/08/15,"Central East",,0,,,,,0,,,,,,,
2020/08/15,"Central East",,0,,,,,0,,,,,,,
2020/08/15,Regina,131,39,1,0,90,2,0,,,,,,,
2020/08/15,"South West",201,12,0,1,148,1,0,,,,,,,
2020/08/15,"South West",,40,,,,,0,,,,,,,
2020/08/15,"South Central",182,28,0,0,146,3,0,,,,,,,
2020/08/15,"South Central",,5,,,,,0,,,,,,,
2020/08/15,"South East",11,0,0,0,11,0,0,,,,,,,
2020/08/15,"South East",,0,,,,,0,,,,,,,
2020/08/15,"South East",,0,,,,,0,,,,,,,
2020/08/15,"South East",,0,,,,,0,,,,,,,
2020/08/15,Total,1566,189,3,5,1356,21,25,,,,498,488,268,55
2020/08/16,"Far North West",346,0,0,0,339,7,0,,,,,,,
2020/08/16,"Far North West",,0,,,,,0,,,,,,,
2020/08/16,"Far North Central",0,0,0,0,0,0,0,,,,,,,
2020/08/16,"Far North East",6,0,0,0,6,0,0,,,,,,,
2020/08/16,"Far North East",,0,,,,,0,,,,,,,
2020/08/16,"North West",119,1,0,0,92,4,1,,,,,,,
2020/08/16,"North West",,1,,,,,0,,,,,,,
2020/08/16,"North West",,20,,,,,0,,,,,,,
2020/08/16,"North West",,1,,,,,0,,,,,,,
2020/08/16,"North Central",68,0,0,0,65,2,0,,,,,,,
2020/08/16,"North Central",,1,,,,,0,,,,,,,
2020/08/16,"North Central",,0,,,,,0,,,,,,,
2020/08/16,"North East",65,0,0,0,65,0,0,,,,,,,
2020/08/16,"North East",,0,,,,,0,,,,,,,
2020/08/16,"North East",,0,,,,,0,,,,,,,
2020/08/16,Saskatoon,247,24,1,4,221,2,0,,,,,,,
2020/08/16,"Central West",161,5,0,0,152,0,0,,,,,,,
2020/08/16,"Central West",,4,,,,,1,,,,,,,
2020/08/16,"Central East",33,3,0,0,26,1,3,,,,,,,
2020/08/16,"Central East",,3,,,,,0,,,,,,,
2020/08/16,"Central East",,0,,,,,0,,,,,,,
2020/08/16,"Central East",,0,,,,,0,,,,,,,
2020/08/16,"Central East",,0,,,,,0,,,,,,,
2020/08/16,Regina,131,39,1,0,90,2,0,,,,,,,
2020/08/16,"South West",206,15,2,0,150,1,4,,,,,,,
2020/08/16,"South West",,40,,,,,1,,,,,,,
2020/08/16,"South Central",187,29,0,0,148,3,2,,,,,,,
2020/08/16,"South Central",,7,,,,,3,,,,,,,
2020/08/16,"South East",11,0,0,0,11,0,0,,,,,,,
2020/08/16,"South East",,0,,,,,0,,,,,,,
2020/08/16,"South East",,0,,,,,0,,,,,,,
2020/08/16,"South East",,0,,,,,0,,,,,,,
2020/08/16,Total,1580,193,4,4,1365,22,15,,,,504,491,271,55
2020/08/17,"Far North West",346,0,0,0,339,7,0,,,,,,,
2020/08/17,"Far North West",,0,,,,,0,,,,,,,
2020/08/17,"Far North Central",0,0,0,0,0,0,0,,,,,,,
2020/08/17,"Far North East",6,0,0,0,6,0,0,,,,,,,
2020/08/17,"Far North East",,0,,,,,0,,,,,,,
2020/08/17,"North West",119,1,0,0,92,4,0,,,,,,,
2020/08/17,"North West",,1,,,,,0,,,,,,,
2020/08/17,"North West",,20,,,,,0,,,,,,,
2020/08/17,"North West",,1,,,,,0,,,,,,,
2020/08/17,"North Central",68,0,0,0,65,2,0,,,,,,,
2020/08/17,"North Central",,1,,,,,0,,,,,,,
2020/08/17,"North Central",,0,,,,,0,,,,,,,
2020/08/17,"North East",65,0,0,0,65,0,0,,,,,,,
2020/08/17,"North East",,0,,,,,0,,,,,,,
2020/08/17,"North East",,0,,,,,0,,,,,,,
2020/08/17,Saskatoon,247,23,1,4,222,2,0,,,,,,,
2020/08/17,"Central West",161,5,0,0,154,0,0,,,,,,,
2020/08/17,"Central West",,2,,,,,0,,,,,,,
2020/08/17,"Central East",33,1,0,0,28,1,0,,,,,,,
